,positionName,companyShortName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,city,district,salary,salaryMonth,workYear,jobNature,education,positionAdvantage,latitude,longitude,neededSkills
11,数据分析师,上海唯都,150-500人,广告营销,未融资,[],产品|需求|项目类,数据分析,数据分析,北京,朝阳区,10k-12k,0,3-5年,全职,本科,汽车行业 精准营销咨询 CRM专业团队,39.955710,116.459360,"['数据运营', '可视化', '汽车', '数据分析', 'SQL']"
12,数据分析师,联合飞创,50-150人,企业服务,未融资,[],开发|测试|运维类,数据开发,数据分析,重庆,渝北区,10k-14k,0,3-5年,全职,本科,发展平台、团队氛围,29.610123,106.517270,"['Python', '数仓建模', '数据仓库', '金融', '大数据', 'MySQL']"
13,数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,25k-50k,0,不限,全职,本科,"下午茶,健身瑜伽,六险一金,股票期权",40.013248,116.352742,['数据分析']
14,数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",产品|需求|项目类,数据分析,数据分析,北京,海淀区,25k-50k,0,不限,全职,本科,晋升空间,39.979578,116.369044,['数据分析']
0,数据分析师,联合飞创,50-150人,企业服务,未融资,[],开发|测试|运维类,数据开发,数据分析,重庆,渝北区,10k-14k,0,3-5年,全职,本科,发展平台、团队氛围,29.610123,106.517270,"['Python', '数仓建模', '数据仓库', '金融', '大数据', 'MySQL']"
1,数据分析师,达达集团,2000人以上,消费生活,上市公司,"['弹性工作', '股票期权', '扁平管理', '技术氛围浓厚']",产品|需求|项目类,数据分析,数据分析,上海,浦东新区,15k-25k,0,3-5年,全职,本科,技术驱动、风口平台,31.229046,121.515042,"['SPSS', '大数据', '数据分析']"
2,数据分析师,智品网络,150-500人,"移动互联网,电商",A轮,"['五险一金', '健身器材', '扁平管理', '产品为主']",产品|需求|项目类,数据分析,数据分析,广州,天河区,18k-25k,0,3-5年,全职,本科,"工程师氛围,技术大牛,周末双休",23.117200,113.369895,"['数据运营', '商业', '数据分析']"
3,数据分析师,掌门集团,500-2000人,"移动互联网,消费生活",B轮,"['年度旅游', '绩效奖金', '带薪年假', '弹性工作']",开发|测试|运维类,数据开发,数据分析,上海,浦东新区,20k-35k,0,5-10年,全职,本科,"大数据平台,千万级用户,工作氛围好,奖金丰厚",31.221517,121.544379,"['数据库开发', '数据分析']"
4,数据分析师,佰聆数据,150-500人,"数据服务,软件开发",不需要融资,[],产品|需求|项目类,数据分析,数据分析,重庆,江北区,6k-12k,13,1-3年,全职,本科,周末双休，大数据行业，档案挂靠，可转正,29.586453,106.558284,['数据分析']
5,数据分析师,佰聆数据,150-500人,"数据服务,软件开发",不需要融资,[],产品|需求|项目类,产品经理,数据分析师,广州,越秀区,7k-10k,13,1-3年,全职,本科,五险一金、周末双休、年终奖、餐补、通讯补贴,23.131719,113.306881,"['人工智能', '大数据', '数据分析']"
6,数据分析师,映客直播,150-500人,"移动互联网,文娱丨内容",上市公司,"['绩效奖金', '带薪年假', '午餐补助', '专项奖金']",产品|需求|项目类,数据分析,数据分析,广州,海珠区,10k-18k,0,1-3年,全职,本科,氛围好 五险一金 下午茶 双休,23.105685,113.321230,"['数据库', '数据运营', '直播', '移动互联网', '数据分析']"
7,数据分析师,东莞美宜佳,500-2000人,其他,不需要融资,"['带薪年假', '提供住宿', '员工餐厅', '专项奖金']",开发|测试|运维类,数据开发,数据分析,东莞,东莞市市辖区,6k-10k,0,1-3年,全职,大专,"SQL,数据库",23.024888,113.745011,"['大数据', '数据分析', '数据挖掘']"
8,数据分析,玩吧,500-2000人,社交,B轮,"['去他的考勤', '高手云集', '股票期权', '年底N薪']",开发|测试|运维类,数据开发,数据分析,北京,东城区,10k-18k,0,1-3年,全职,本科,"七险一金,弹性不打卡,免费午餐,季度旅游",39.940498,116.436939,"['移动互联网', '数据分析', '社交']"
